Chr	Start	End	species	size	color
tig00000002	1	50776	MI	12	25252
tig00000004	1	77331	MI	12	25252
tig00000005	1	39781	MI	12	25252
tig00000007	1	33174	MI	12	25252
tig00000008	1	55332	MI	12	25252
tig00000009	1	38689	MI	12	25252
tig00000010	1	29070	MI	12	25252
tig00000011	1	46289	MI	12	25252
tig00000012	1	35552	MI	12	25252
tig00000014	1	27807	MI	12	25252
tig00000015	1	61966	MI	12	25252
tig00000016	1	31431	MI	12	25252
tig00000017	1	36579	MI	12	25252
tig00000018	1	30178	MI	12	25252
tig00000019	1	346315	MI	12	25252
tig00000020	1	45476	MI	12	25252
tig00000021	1	39180	MI	12	25252
tig00000022	1	32477	MI	12	25252
tig00000023	1	36438	MI	12	25252
tig00000024	1	246330	MI	12	25252
tig00000025	1	37264	MI	12	25252
tig00000026	1	38547	MI	12	25252
tig00000027	1	43855	MI	12	25252
tig00000028	1	51679	MI	12	25252
tig00000029	1	39721	MI	12	25252
tig00000030	1	36874	MI	12	25252
tig00000031	1	49119	MI	12	25252
tig00000034	1	21274	MI	12	25252
tig00000035	1	32767	MI	12	25252
tig00000036	1	203863	MI	12	25252
tig00000037	1	43879	MI	12	25252
tig00000038	1	94962	MI	12	25252
tig00000039	1	37438	MI	12	25252
tig00000040	1	30998	MI	12	25252
tig00000041	1	34310	MI	12	25252
tig00000042	1	32412	MI	12	25252
tig00000043	1	31644	MI	12	25252
tig00000044	1	44623	MI	12	25252
tig00000045	1	43445	MI	12	25252
tig00000046	1	39603	MI	12	25252
tig00000047	1	32704	MI	12	25252
tig00000048	1	35785	MI	12	25252
tig00000049	1	37583	MI	12	25252
tig00000050	1	24295	MI	12	25252
tig00000051	1	36121	MI	12	25252
tig00000052	1	42888	MI	12	25252
tig00000053	1	29634	MI	12	25252
tig00000054	1	126382	MI	12	25252
tig00000055	1	23163	MI	12	25252
tig00000056	1	34491	MI	12	25252
tig00000057	1	31439	MI	12	25252
tig00000058	1	91947	MI	12	25252
tig00000059	1	124616	MI	12	25252
tig00000060	1	155825	MI	12	25252
